total_field_area_ha,gps_latitude,gps_longitude,seeding_rate_kg_ha,average_number_of_plants,monitoring_field_area_sqm,rice_variety_no,rice_variety_maturity_duration,applied_area_sqm,affected_area_ha,planning_gap_days,delay_days,growing_days,yield_t_per_ha,damage_occurred,severity_code,affected_ratio,pest_present,total_n,total_p,total_k,num_applications,total_amount,province_Antique,province_Capiz,province_Iloilo,soil_type_x_Land preparation,soil_type_x_Planted,current_field_condition_Just harvested,current_field_condition_Land preparation,current_field_condition_Planted,crop_planted_Rice,crop_status_Germination,crop_status_Seedling,crop_status_Tillering,est_crop_establishment_method_Transplanted,direct_seeding_method_Row direct-seeded,seed_class_Good,seed_class_Hybrid,seed_class_Registered,ecosystem_Rainfed Lowland,ecosystem_Rainfed lowland,"source_of_irrigation_Surface water (river, stream, ponds, small water impounding projects, dam)",harvesting_method_Mechanic,harvesting_method_Mechanical,harvesting_method_Mechnical,irrigation_supply_Not Enough,irrigation_supply_Sufficient,cause_No Damage,cause_Tropical Cyclone,crop_stage_Panicle,severity_Medium,type_of_irrigation_National Irrigation System (NIS),type_of_irrigation_Private Irrigation System (PIS),source_of_good_seeds_Seed_producer,soil_type_y_Loamy,variety_group_others,variety_group_psb,variety_group_unknown
0.32,11.6416198,122.387066,100.0,25.33,2118.0,216.0,112.0,2780.0,0.0,21.0,-5.0,97.0,5.544,0.0,0.0,0.0,0.0,15.2,19.0,0.0,2.0,95.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False
0.5,11.6320235,122.3841407,120.0,19.67,482.0,216.0,112.0,6305.0,0.0,23.0,0.0,97.0,4.62,0.0,0.0,0.0,0.0,65.78,0.0,0.0,2.0,143.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True
0.7,11.2405656,122.063344,30.0,17.67,520.0,314.0,118.0,4552.0,0.0,26.0,0.0,109.0,5.857142857142857,0.0,0.0,0.0,0.0,22.4,22.4,22.4,3.0,160.0,True,False,False,False,False,False,False,True,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,True,False,False,False,False
1.04,11.2275555,122.0566,30.0,20.0,877.0,216.0,120.0,21980.0,0.0,10.0,-2.0,107.0,2.523076923076923,0.0,0.0,0.0,0.0,0.35,0.35,0.35,3.0,7.0,True,False,False,False,False,False,False,True,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,True,False,False
0.6,11.3866633,122.0660906,110.0,21.0,575.0,222.0,114.0,3489.0,0.0,10.0,-5.0,97.0,3.375,0.0,0.0,0.0,0.0,4.96,2.48,2.48,3.0,248.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False
1.0,11.4479149,122.064918,120.0,22.33,1130.0,480.0,107.0,1776.0,0.0,7.0,1.0,102.0,4.074,0.0,0.0,0.0,0.0,31.28,0.0,0.0,1.0,68.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False
1.0,11.4040473,122.063508,120.0,20.67,1825.0,216.0,110.0,7344.0,0.0,15.0,-3.0,97.0,2.925,0.0,0.0,0.0,0.0,0.0,0.0,25.2,1.0,42.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False
0.25,10.8768866,121.9703675,120.0,19.67,482.0,216.0,112.0,4105.0,0.0,43.0,0.0,97.0,5.376,0.0,0.0,0.0,0.0,1.8,0.9,0.9,1.0,90.0,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
0.3,10.9531547,122.0073105,60.0,13.33,938.0,10.0,106.0,3502.0,0.0,20.0,0.0,89.0,4.8,0.0,0.0,0.0,0.0,7.84,7.84,7.84,1.0,56.0,True,False,False,False,False,False,False,True,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False
1.7,10.7910418,122.0008219,120.0,21.67,2535.0,222.0,114.0,20410.0,0.0,20.0,3.0,89.0,5.38876404494382,0.0,0.0,0.0,0.0,32.66,0.0,0.0,1.0,71.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,True,False,False,False,True,False,True,False,False,False,False
1.0,10.765877,122.0116243,200.0,22.0,1403.0,27.0,107.0,5488.0,0.0,23.0,-6.0,81.0,2.1,0.0,0.0,0.0,0.0,1.56,0.78,0.78,1.0,78.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,False,True,False
1.9,10.7652622,121.9970385,120.0,19.67,482.0,216.0,112.0,17023.0,0.0,12.0,0.0,97.0,4.16421052631579,0.0,0.0,0.0,0.0,5.46,3.64,3.64,2.0,182.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True
1.0,10.7800649,121.9971274,120.0,19.67,482.0,216.0,112.0,8875.0,0.0,24.0,0.0,97.0,5.074,0.0,0.0,0.0,0.0,60.26,0.0,0.0,2.0,131.0,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,True
1.6,10.7749597,121.9802539,150.0,22.33,1200.0,222.0,114.0,9960.0,0.0,8.0,1.0,96.0,3.389333333333333,0.0,0.0,0.0,0.0,15.399999999999999,15.399999999999999,15.399999999999999,2.0,110.0,True,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False
2.0,10.7902282,122.0455662,154.0,19.0,2105.0,222.0,114.0,6122.0,0.0,35.0,8.0,92.0,3.8146341463414637,0.0,0.0,0.0,0.0,0.1,0.1,0.1,1.0,2.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,True,False,False,False,True,False,True,False,False,False,False
0.52,11.31373,122.6691,80.0,20.0,0.52,216.0,112.0,4721.0,0.0,0.0,19.0,82.0,4.992,0.0,0.0,0.0,0.0,1.68,0.84,0.84,1.0,84.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,True,False,False,False,True,False,True,False,False,False,False
0.77,11.34015,122.6873,140.0,23.0,0.77,10.0,106.0,21456.0,0.0,-318.0,63.0,27.0,6.428571428571429,0.0,0.0,0.0,0.0,31.74,0.0,0.0,1.0,69.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,True,False,False,False,True,False,True,False,False,True,False
0.29,11.34291,122.659,45.0,17.33,0.29,480.0,107.0,3601.0,0.0,25.0,0.0,97.0,3.889655172413793,0.0,0.0,0.0,0.0,0.0,0.0,24.6,1.0,41.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False
3.0,11.41569,122.8932,187.0,20.67,3.0,10.0,106.0,1995.0,0.0,53.0,0.0,97.0,3.0,0.0,0.0,0.0,0.0,0.28,0.28,0.28,3.0,7.0,False,True,False,False,False,False,False,True,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False
0.3,11.45978,122.8398,160.0,19.67,0.3,216.0,112.0,7218.0,0.0,16.0,0.0,97.0,4.064516129032258,0.0,0.0,0.0,0.0,3.52,1.76,1.76,2.0,176.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False
2.4,11.46235,122.825,120.0,19.67,482.0,216.0,112.0,2893.0,0.0,16.0,0.0,97.0,2.4583333333333335,0.0,0.0,0.0,0.0,61.18,0.0,0.0,2.0,133.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,True
1.2,11.40992,122.9041,100.0,17.67,1.2,10.0,106.0,4360.0,0.0,15.0,0.0,97.0,2.625,0.0,0.0,0.0,0.0,15.96,15.96,15.96,2.0,114.0,False,True,False,False,False,False,False,True,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False
0.35,11.42962,122.6471,120.0,21.0,0.35,216.0,112.0,3411.0,0.0,13.0,0.0,97.0,1.68,0.0,0.0,0.0,0.0,0.1,0.1,0.1,1.0,2.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,True,False,False,False,True,False,False,False,False,False,False
0.64,11.39542,122.656,100.0,18.33,0.64,20.0,106.0,19174.0,0.0,26.0,0.0,97.0,3.52,0.0,0.0,0.0,0.0,4.9399999999999995,2.4699999999999998,2.4699999999999998,3.0,247.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False
1.0,11.40207,122.6743,160.0,12.67,1.0,22.0,129.0,11028.0,0.0,15.0,0.0,97.0,4.3,0.0,0.0,0.0,0.0,23.2,29.000000000000004,0.0,3.0,145.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False
0.52,11.4295,122.6521,80.0,19.67,0.52,222.0,114.0,5236.0,3.4,24.0,0.0,97.0,4.11764705882353,1.0,0.0,6.538461538461538,1.0,67.16,0.0,0.0,2.0,146.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,True,False,True,False,True,False,False,False,False
0.4,11.41835,122.6585,40.0,21.0,0.4,216.0,112.0,15892.0,0.0,61.0,0.0,97.0,4.715,0.0,0.0,0.0,0.0,0.08,0.08,0.08,1.0,2.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False
1.5,11.26047,122.5352,160.0,19.33,1.5,222.0,114.0,9410.0,0.0,13.0,0.0,97.0,3.0,0.0,0.0,0.0,0.0,2.73,1.82,1.82,1.0,91.0,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False
1.0,11.29395,122.5375,120.0,19.0,1.0,358.0,114.0,10132.0,0.0,35.0,0.0,97.0,3.6,0.0,0.0,0.0,0.0,8.12,8.12,8.12,1.0,58.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
0.7,11.29328,122.5228,40.0,16.33,0.7,222.0,114.0,2675.0,1.7,15.0,0.0,97.0,1.6666666666666667,1.0,0.0,2.428571428571429,1.0,0.0,0.0,26.4,1.0,44.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,True,True,False,False,False
2.3,11.25708,122.5272,120.0,23.67,2.3,222.0,114.0,6584.0,0.0,14.0,0.0,97.0,4.4,0.0,0.0,0.0,0.0,0.1,0.1,0.1,1.0,2.0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False
1.2,11.4295,122.3841407,60.0,16.67,0.7,222.0,113.0,4833.0,0.0,29.0,10.0,84.0,2.9625000000000004,0.0,0.0,0.0,0.0,1.72,0.86,0.86,1.0,86.0,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,True,False,False,False,True,False,True,False,True,False,False
2.2,11.4295,122.3841407,100.0,9.33,0.5,216.0,113.0,22341.0,0.0,10.0,-1.0,123.0,3.396923076923077,0.0,0.0,0.0,0.0,34.04,0.0,0.0,1.0,74.0,False,False,True,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,True,False,False,False,False
0.58,11.4295,122.3841407,120.0,19.67,482.0,216.0,112.0,3338.0,0.0,34.0,0.0,97.0,5.358,0.0,0.0,0.0,0.0,8.26,8.26,8.26,1.0,59.0,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,True
0.5,11.4295,122.3841407,120.0,19.67,482.0,216.0,112.0,1822.0,0.0,16.0,0.0,97.0,4.68,0.0,0.0,0.0,0.0,0.08,0.08,0.08,1.0,2.0,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,True
0.8,11.4295,122.3841407,140.0,14.0,0.84,216.0,110.0,7460.0,0.0,18.0,-29.0,127.0,3.4285714285714284,0.0,0.0,0.0,0.0,1.86,0.93,0.93,1.0,93.0,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,True,False
0.8,11.4295,122.3841407,120.0,12.33,0.85,216.0,114.0,4209.0,0.0,25.0,-1.0,91.0,0.8489208633093526,0.0,0.0,0.0,0.0,34.96,0.0,0.0,1.0,76.0,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,True,False,False,False,False,False,True,False,False,False,False
1.0,11.4295,122.3841407,120.0,7.33,0.98,216.0,110.0,3597.0,0.0,11.0,1.0,100.0,3.44,0.0,0.0,0.0,0.0,0.1,0.1,0.1,1.0,2.0,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,True,True,False,False,False,False,False,True,False,True,False,False
4.8,11.4295,122.3841407,120.0,19.67,482.0,216.0,112.0,20688.0,0.0,31.0,0.0,97.0,25.007142857142856,0.0,0.0,0.0,0.0,1.58,0.79,0.79,1.0,79.0,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True
0.7,11.4295,122.3841407,120.0,19.67,482.0,216.0,112.0,11670.0,0.0,12.0,0.0,97.0,4.357142857142857,0.0,0.0,0.0,0.0,8.4,8.4,8.4,1.0,60.0,False,False,True,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,True
4.0,11.4295,122.3841407,120.0,19.67,482.0,216.0,112.0,5375.0,0.0,41.0,0.0,97.0,12.600000000000001,0.0,0.0,0.0,0.0,0.0,0.0,25.8,1.0,43.0,False,False,True,False,False,False,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,True
1.8,11.4295,122.3841407,120.0,19.67,482.0,216.0,112.0,16211.0,0.0,0.0,0.0,97.0,4.016363636363637,0.0,0.0,0.0,0.0,0.08,0.08,0.08,1.0,2.0,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,True
1.5,11.4295,122.3841407,120.0,19.67,482.0,216.0,112.0,9087.0,0.0,49.0,0.0,97.0,4.3125,0.0,0.0,0.0,0.0,2.82,1.88,1.88,1.0,94.0,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,True
1.7,11.4295,122.3841407,120.0,17.33,1.7,216.0,110.0,10376.0,0.0,7.0,0.0,125.0,3.895294117647059,0.0,0.0,0.0,0.0,34.5,0.0,0.0,1.0,75.0,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,True,False,False,False,True,False,True,False,True,False,False
